EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
487146,Theater Load in and Load Outs,06/01/2019 12:01:00 AM,06/02/2019 06:00:00 AM,05/23/2019 04:17:32 PM,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
485991,Theater Load in and Load Outs,06/01/2019 12:01:00 AM,06/02/2019 06:00:00 AM,05/20/2019 07:28:45 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE",Manhattan,4,18,Theater,Theater,United States of America,10019
488420,Shooting Permit,06/01/2019 06:00:00 AM,06/01/2019 10:00:00 PM,05/30/2019 12:22:36 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   91 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,Manhattan,"64, 7","22, 24",WEB,Not Applicable,United States of America,"10024, 10025"
487061,Shooting Permit,06/01/2019 06:00:00 AM,06/01/2019 10:00:00 PM,05/23/2019 01:24:13 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST STREET between BETHUNE STREET and BANK STREET,Manhattan,2,6,WEB,Not Applicable,United States of America,10014
487721,Shooting Permit,06/01/2019 06:00:00 AM,06/01/2019 10:00:00 PM,05/28/2019 10:29:47 AM,"Mayor's Office of Film, Theatre & Broadcasting",DUPONT STREET between PROVOST STREET and MCGUINNESS BOULEVARD,Brooklyn,1,94,Commercial,Commercial,United States of America,11222
488387,Shooting Permit,06/01/2019 06:00:00 AM,06/01/2019 10:00:00 PM,05/30/2019 11:16:17 AM,"Mayor's Office of Film, Theatre & Broadcasting","VAN DYKE STREET between RICHARDS STREET and OTSEGO STREET,  DWIGHT STREET between BEARD STREET and VAN DYKE STREET,  BUSH STREET between COURT STREET and CLINTON STREET,  COURT STREET between HAMILTON AVENUE and BUSH STREET,  COURT STREET between BUSH STREET and LORRAINE STREET,  LORRAINE STREET between CLINTON STREET and COURT STREET",Brooklyn,6,76,Commercial,Commercial,United States of America,11231
487855,Shooting Permit,06/01/2019 06:00:00 AM,06/01/2019 11:30:00 PM,05/28/2019 03:32:02 PM,"Mayor's Office of Film, Theatre & Broadcasting",MURRAY STREET between RIVER TERRACE and NORTH END AVENUE,Manhattan,1,1,WEB,Not Applicable,United States of America,10282
488207,Theater Load in and Load Outs,06/01/2019 06:00:00 AM,06/02/2019 06:00:00 AM,05/29/2019 04:40:21 PM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY",Manhattan,7,20,Theater,Theater,United States of America,10023
486891,Shooting Permit,06/01/2019 07:00:00 AM,06/01/2019 07:00:00 PM,05/22/2019 07:48:22 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   27 STREET between 11 AVENUE and 12 AVENUE,Manhattan,4,10,Still Photography,Not Applicable,United States of America,10001
488009,Shooting Permit,06/01/2019 07:00:00 AM,06/01/2019 07:00:00 PM,05/29/2019 08:13:50 AM,"Mayor's Office of Film, Theatre & Broadcasting",NORTH   11 STREET between KENT AVENUE and WYTHE AVENUE,Brooklyn,1,"90, 94",Still Photography,Not Applicable,United States of America,"11211, 11222, 11249"
